scenario;network_structure;community_sampling;intervention;intervention_level;overwrite;contact_weight;household_size;scenario_group
SL_UNI;single_layer;static;none;none;no;UNI;0;general
ML_UNI_HS0;multi_layer;static;none;none;no;UNI;0;general
ML_UNI_HS1;multi_layer;static;none;none;no;UNI;1;general
ML_UNI_HS2;multi_layer;static;none;none;no;UNI;2;general
ML_UNI_HS3;multi_layer;static;none;none;no;UNI;3;general
ML_UNI_HS4;multi_layer;static;none;none;no;UNI;4;general
ML_UNI_HS5;multi_layer;static;none;none;no;UNI;5;general
ML_CW1_HS0;multi_layer;static;none;none;no;CW1;0;general
ML_CW1_HS1;multi_layer;static;none;none;no;CW1;1;general
ML_CW1_HS2;multi_layer;static;none;none;no;CW1;2;general
ML_CW1_HS3;multi_layer;static;none;none;no;CW1;3;general
ML_CW1_HS4;multi_layer;static;none;none;no;CW1;4;general
ML_CW1_HS5;multi_layer;static;none;none;no;CW1;5;general
ML_CW2_HS0;multi_layer;static;none;none;no;CW2;0;general
ML_CW2_HS1;multi_layer;static;none;none;no;CW2;1;general
ML_CW2_HS2;multi_layer;static;none;none;no;CW2;2;general
ML_CW2_HS3;multi_layer;static;none;none;no;CW2;3;general
ML_CW2_HS4;multi_layer;static;none;none;no;CW2;4;general
ML_CW2_HS5;multi_layer;static;none;none;no;CW2;5;general
ML_CW3_HS0;multi_layer;static;none;none;no;CW3;0;general
ML_CW3_HS1;multi_layer;static;none;none;no;CW3;1;general
ML_CW3_HS2;multi_layer;static;none;none;no;CW3;2;general
ML_CW3_HS3;multi_layer;static;none;none;no;CW3;3;general
ML_CW3_HS4;multi_layer;static;none;none;no;CW3;4;general
ML_CW3_HS5;multi_layer;static;none;none;no;CW3;5;general
ML_CW4_HS0;multi_layer;static;none;none;no;CW4;0;general
ML_CW4_HS1;multi_layer;static;none;none;no;CW4;1;general
ML_CW4_HS2;multi_layer;static;none;none;no;CW4;2;general
ML_CW4_HS3;multi_layer;static;none;none;no;CW4;3;general
ML_CW4_HS4;multi_layer;static;none;none;no;CW4;4;general
ML_CW4_HS5;multi_layer;static;none;none;no;CW4;5;general
ML_CW5_HS0;multi_layer;static;none;none;no;CW5;0;general
ML_CW5_HS1;multi_layer;static;none;none;no;CW5;1;general
ML_CW5_HS2;multi_layer;static;none;none;no;CW5;2;general
ML_CW5_HS3;multi_layer;static;none;none;no;CW5;3;general
ML_CW5_HS4;multi_layer;static;none;none;no;CW5;4;general
ML_CW5_HS5;multi_layer;static;none;none;no;CW5;5;general
ML_UNI_HS1_WPC;multi_layer;static;workplace_closure;none;no;UNI;1;intv_workplace
ML_UNI_HS2_WPC;multi_layer;static;workplace_closure;none;no;UNI;2;intv_workplace
ML_UNI_HS3_WPC;multi_layer;static;workplace_closure;none;no;UNI;3;intv_workplace
ML_UNI_HS4_WPC;multi_layer;static;workplace_closure;none;no;UNI;4;intv_workplace
ML_UNI_HS5_WPC;multi_layer;static;workplace_closure;none;no;UNI;5;intv_workplace
ML_CW1_HS1_WPC;multi_layer;static;workplace_closure;none;no;CW1;1;intv_workplace
ML_CW1_HS2_WPC;multi_layer;static;workplace_closure;none;no;CW1;2;intv_workplace
ML_CW1_HS3_WPC;multi_layer;static;workplace_closure;none;no;CW1;3;intv_workplace
ML_CW1_HS4_WPC;multi_layer;static;workplace_closure;none;no;CW1;4;intv_workplace
ML_CW1_HS5_WPC;multi_layer;static;workplace_closure;none;no;CW1;5;intv_workplace
ML_CW2_HS1_WPC;multi_layer;static;workplace_closure;none;no;CW2;1;intv_workplace
ML_CW2_HS2_WPC;multi_layer;static;workplace_closure;none;no;CW2;2;intv_workplace
ML_CW2_HS3_WPC;multi_layer;static;workplace_closure;none;no;CW2;3;intv_workplace
ML_CW2_HS4_WPC;multi_layer;static;workplace_closure;none;no;CW2;4;intv_workplace
ML_CW2_HS5_WPC;multi_layer;static;workplace_closure;none;no;CW2;5;intv_workplace
ML_CW3_HS1_WPC;multi_layer;static;workplace_closure;none;no;CW3;1;intv_workplace
ML_CW3_HS2_WPC;multi_layer;static;workplace_closure;none;no;CW3;2;intv_workplace
ML_CW3_HS3_WPC;multi_layer;static;workplace_closure;none;no;CW3;3;intv_workplace
ML_CW3_HS4_WPC;multi_layer;static;workplace_closure;none;no;CW3;4;intv_workplace
ML_CW3_HS5_WPC;multi_layer;static;workplace_closure;none;no;CW3;5;intv_workplace
ML_CW4_HS1_WPC;multi_layer;static;workplace_closure;none;no;CW4;1;intv_workplace
ML_CW4_HS2_WPC;multi_layer;static;workplace_closure;none;no;CW4;2;intv_workplace
ML_CW4_HS3_WPC;multi_layer;static;workplace_closure;none;no;CW4;3;intv_workplace
ML_CW4_HS4_WPC;multi_layer;static;workplace_closure;none;no;CW4;4;intv_workplace
ML_CW4_HS5_WPC;multi_layer;static;workplace_closure;none;no;CW4;5;intv_workplace
ML_CW5_HS1_WPC;multi_layer;static;workplace_closure;none;no;CW5;1;intv_workplace
ML_CW5_HS2_WPC;multi_layer;static;workplace_closure;none;no;CW5;2;intv_workplace
ML_CW5_HS3_WPC;multi_layer;static;workplace_closure;none;no;CW5;3;intv_workplace
ML_CW5_HS4_WPC;multi_layer;static;workplace_closure;none;no;CW5;4;intv_workplace
ML_CW5_HS5_WPC;multi_layer;static;workplace_closure;none;no;CW5;5;intv_workplace
ML_UNI_HS1_altbeta;multi_layer;static;none;none;no;UNI;1;intv_workplace
ML_UNI_HS2_altbeta;multi_layer;static;none;none;no;UNI;2;intv_workplace
ML_UNI_HS3_altbeta;multi_layer;static;none;none;no;UNI;3;intv_workplace
ML_UNI_HS4_altbeta;multi_layer;static;none;none;no;UNI;4;intv_workplace
ML_UNI_HS5_altbeta;multi_layer;static;none;none;no;UNI;5;intv_workplace
ML_CW1_HS1_altbeta;multi_layer;static;none;none;no;CW1;1;intv_workplace
ML_CW1_HS2_altbeta;multi_layer;static;none;none;no;CW1;2;intv_workplace
ML_CW1_HS3_altbeta;multi_layer;static;none;none;no;CW1;3;intv_workplace
ML_CW1_HS4_altbeta;multi_layer;static;none;none;no;CW1;4;intv_workplace
ML_CW1_HS5_altbeta;multi_layer;static;none;none;no;CW1;5;intv_workplace
ML_CW2_HS1_altbeta;multi_layer;static;none;none;no;CW2;1;intv_workplace
ML_CW2_HS2_altbeta;multi_layer;static;none;none;no;CW2;2;intv_workplace
ML_CW2_HS3_altbeta;multi_layer;static;none;none;no;CW2;3;intv_workplace
ML_CW2_HS4_altbeta;multi_layer;static;none;none;no;CW2;4;intv_workplace
ML_CW2_HS5_altbeta;multi_layer;static;none;none;no;CW2;5;intv_workplace
ML_CW3_HS1_altbeta;multi_layer;static;none;none;no;CW3;1;intv_workplace
ML_CW3_HS2_altbeta;multi_layer;static;none;none;no;CW3;2;intv_workplace
ML_CW3_HS3_altbeta;multi_layer;static;none;none;no;CW3;3;intv_workplace
ML_CW3_HS4_altbeta;multi_layer;static;none;none;no;CW3;4;intv_workplace
ML_CW3_HS5_altbeta;multi_layer;static;none;none;no;CW3;5;intv_workplace
ML_CW4_HS1_altbeta;multi_layer;static;none;none;no;CW4;1;intv_workplace
ML_CW4_HS2_altbeta;multi_layer;static;none;none;no;CW4;2;intv_workplace
ML_CW4_HS3_altbeta;multi_layer;static;none;none;no;CW4;3;intv_workplace
ML_CW4_HS4_altbeta;multi_layer;static;none;none;no;CW4;4;intv_workplace
ML_CW4_HS5_altbeta;multi_layer;static;none;none;no;CW4;5;intv_workplace
ML_CW5_HS1_altbeta;multi_layer;static;none;none;no;CW5;1;intv_workplace
ML_CW5_HS2_altbeta;multi_layer;static;none;none;no;CW5;2;intv_workplace
ML_CW5_HS3_altbeta;multi_layer;static;none;none;no;CW5;3;intv_workplace
ML_CW5_HS4_altbeta;multi_layer;static;none;none;no;CW5;4;intv_workplace
ML_CW5_HS5_altbeta;multi_layer;static;none;none;no;CW5;5;intv_workplace
ML_UNI_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;UNI;1;intv_workplace
ML_UNI_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;UNI;2;intv_workplace
ML_UNI_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;UNI;3;intv_workplace
ML_UNI_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;UNI;4;intv_workplace
ML_UNI_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;UNI;5;intv_workplace
ML_CW1_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW1;1;intv_workplace
ML_CW1_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW1;2;intv_workplace
ML_CW1_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW1;3;intv_workplace
ML_CW1_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW1;4;intv_workplace
ML_CW1_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW1;5;intv_workplace
ML_CW2_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW2;1;intv_workplace
ML_CW2_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW2;2;intv_workplace
ML_CW2_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW2;3;intv_workplace
ML_CW2_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW2;4;intv_workplace
ML_CW2_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW2;5;intv_workplace
ML_CW3_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW3;1;intv_workplace
ML_CW3_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW3;2;intv_workplace
ML_CW3_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW3;3;intv_workplace
ML_CW3_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW3;4;intv_workplace
ML_CW3_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW3;5;intv_workplace
ML_CW4_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW4;1;intv_workplace
ML_CW4_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW4;2;intv_workplace
ML_CW4_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW4;3;intv_workplace
ML_CW4_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW4;4;intv_workplace
ML_CW4_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW4;5;intv_workplace
ML_CW5_HS1_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW5;1;intv_workplace
ML_CW5_HS2_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW5;2;intv_workplace
ML_CW5_HS3_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW5;3;intv_workplace
ML_CW5_HS4_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW5;4;intv_workplace
ML_CW5_HS5_altbeta_WPC;multi_layer;static;workplace_closure;none;no;CW5;5;intv_workplace
SL_UNI_WPC;single_layer;static;workplace_closure;none;yes;UNI;0;intv_workplace
